Row,Vul_P,Vul_I
V1,0.0271487663529476,5.9
V2,0.0319919996303147,5.9
V3,0.0304664552034987,4.4
V4,0.0103840698800063,3
V5,0.0306589996457182,8.3
V6,0.013880973172931,3
V7,0.0149651464937361,4
V8,0.0280078107874653,5.4
V9,0.0185553597855825,5.4
V10,0.0195151197744919,4.7
V11,0.0302146663175194,3.6
V12,0.0282892218953245,3.6
V13,0.0377683328968993,3.6
V14,0.0257209752583354,3.6
V15,0.0247937997134939,6.4
V16,0.0211502664222636,4.4
V17,0.025860199701171,7.1
V18,0.0306145663128983,7.1
V19,0.0286002552250637,7.1
V20,0.0155250064872666,4.1
V21,0.020234939766174,6
V22,0.0389532217720961,4.7
V23,0.0294741107705214,8.3
V24,0.0293408107720617,8.4
V25,0.0294741107705214,8.3
V26,0.0325844440679131,8.3
V27,0.0325844440679131,8.4
V28,0.0321401107397143,8.4
V29,0.0321401107397143,8.4
V30,0.0370277773499012,3
V31,0.0414711106318894,6.6
V32,0.0414711106318894,6.6
V33,0.0324067107366336,6.8
V34,0.00655095436874453,6.4
V35,0.0164041940326626,7.4
V36,0.03373971072123,3
V37,0.0198901371034917,4.8
